# wBeginAdd: 78
# wWaterAdd: 106
#                            max     min     neg     zer     pos
# caluDetBegin - realBegin:  249      67       0       0    4001
# realEnd   - caluDetEnd  :  184       9       0       0    4001
# bytecnt, realBegin, caluDetBegin, realEnd, caluDetEnd
    167505,     72038,     72115,    167261,    167077
    167478,     72006,     72088,    167234,    167050
    167498,     72034,     72108,    167253,    167070
    167460,     71991,     72106,    167216,    167068
    167487,     72025,     72097,    167243,    167059
    167494,     72022,     72104,    167249,    167066
    167494,     72029,     72104,    167249,    167066
    167463,     71999,     72103,    167218,    167065
    167510,     72046,     72120,    167266,    167082
    167509,     72046,     72119,    167264,    167081
    167498,     72030,     72108,    167253,    167070
    167478,     72015,     72088,    167233,    167050
    167489,     72024,     72099,    167244,    167061
    167515,     72050,     72125,    167270,    167087
    167445,     71980,     72121,    167201,    167083
    167468,     72002,     72098,    167223,    167060
    167476,     72009,     72090,    167232,    167052
    167467,     72004,     72099,    167223,    167061
    167436,     71965,     72130,    167191,    167092
    167479,     72007,     72089,    167235,    167051
    167478,     72007,     72088,    167233,    167050
    167507,     72034,     72117,    167262,    167079
    167472,     72005,     72094,    167227,    167056
    167479,     72005,     72089,    167235,    167051
    167485,     72014,     72095,    167241,    167057
    167531,     72059,     72141,    167287,    167103
    167460,     71992,     72106,    167215,    167068
    167511,     72047,     72121,    167266,    167083
    167516,     72047,     72126,    167271,    167088
    167516,     72050,     72126,    167272,    167088
    167509,     72046,     72119,    167265,    167081
    167467,     72007,     72099,    167223,    167061
    167463,     71999,     72103,    167219,    167065
    167472,     72013,     72094,    167228,    167056
    167500,     72037,     72110,    167255,    167072
    167479,     72011,     72089,    167234,    167051
    167471,     72005,     72095,    167227,    167057
    167481,     72021,     72091,    167237,    167053
    167498,     72033,     72108,    167253,    167070
    167484,     72022,     72094,    167240,    167056
    167476,     72012,     72090,    167232,    167052
    167489,     72022,     72099,    167245,    167061
    167509,     72046,     72119,    167265,    167081
    167504,     72033,     72114,    167260,    167076
    167526,     72057,     72136,    167282,    167098
    167498,     72031,     72108,    167254,    167070
    167496,     72028,     72106,    167252,    167068
    167484,     72007,     72094,    167240,    167056
    167507,     72041,     72117,    167263,    167079
    167459,     71990,     72107,    167214,    167069
    167485,     72017,     72095,    167240,    167057
    167465,     72002,     72101,    167221,    167063
    167473,     72001,     72093,    167228,    167055
    167487,     72021,     72097,    167243,    167059
    167485,     72020,     72095,    167241,    167057
    167514,     72051,     72124,    167270,    167086
    167475,     72004,     72091,    167230,    167053
    167544,     72071,     72154,    167300,    167116
    167498,     72020,     72108,    167254,    167070
    167460,     71995,     72106,    167215,    167068
    167498,     72032,     72108,    167254,    167070
    167508,     72043,     72118,    167264,    167080
    167519,     72053,     72129,    167275,    167091
    167496,     72032,     72106,    167252,    167068
    167515,     72049,     72125,    167271,    167087
    167499,     72031,     72109,    167255,    167071
    167522,     72054,     72132,    167277,    167094
    167464,     71997,     72102,    167220,    167064
    167524,     72055,     72134,    167279,    167096
    167495,     72024,     72105,    167250,    167067
    167515,     72044,     72125,    167271,    167087
    167474,     72011,     72092,    167229,    167054
    167518,     72044,     72128,    167273,    167090
    167479,     72014,     72089,    167234,    167051
    167504,     72032,     72114,    167260,    167076
    167447,     71982,     72119,    167203,    167081
    167497,     72028,     72107,    167252,    167069
    167480,     72008,     72090,    167236,    167052
    167476,     71999,     72090,    167232,    167052
    167465,     71998,     72101,    167221,    167063
    167470,     71997,     72096,    167226,    167058
    167457,     71987,     72109,    167212,    167071
    167466,     72000,     72100,    167222,    167062
    167504,     72036,     72114,    167260,    167076
    167512,     72044,     72122,    167268,    167084
    167501,     72038,     72111,    167256,    167073
    167521,     72056,     72131,    167276,    167093
    167462,     71990,     72104,    167218,    167066
    167526,     72054,     72136,    167282,    167098
    167467,     71998,     72099,    167223,    167061
    167513,     72048,     72123,    167268,    167085
    167494,     72029,     72104,    167249,    167066
    167487,     72021,     72097,    167243,    167059
    167503,     72034,     72113,    167259,    167075
    167481,     72017,     72091,    167237,    167053
    167512,     72047,     72122,    167267,    167084
    167500,     72030,     72110,    167255,    167072
    167507,     72040,     72117,    167262,    167079
    167517,     72057,     72127,    167272,    167089
    167454,     71991,     72112,    167210,    167074
    167475,     72009,     72091,    167230,    167053
    167498,     72036,     72108,    167253,    167070
    167500,     72030,     72110,    167256,    167072
    167481,     72010,     72091,    167237,    167053
    167491,     72023,     72101,    167247,    167063
    167492,     72024,     72102,    167248,    167064
    167464,     71999,     72102,    167219,    167064
    167450,     71984,     72116,    167206,    167078
    167490,     72024,     72100,    167245,    167062
    167514,     72047,     72124,    167270,    167086
    167492,     72018,     72102,    167248,    167064
    167508,     72042,     72118,    167264,    167080
    167516,     72050,     72126,    167272,    167088
    167536,     72075,     72146,    167292,    167108
    167533,     72062,     72143,    167288,    167105
    167535,     72061,     72145,    167290,    167107
    167560,     72088,     72170,    167316,    167132
    167517,     72049,     72127,    167273,    167089
    167506,     72040,     72116,    167262,    167078
    167520,     72056,     72130,    167275,    167092
    167525,     72059,     72135,    167281,    167097
    167498,     72023,     72108,    167254,    167070
    167557,     72084,     72167,    167313,    167129
    167504,     72043,     72114,    167259,    167076
    167489,     72020,     72099,    167245,    167061
    167453,     71993,     72113,    167208,    167075
    167520,     72055,     72130,    167275,    167092
    167494,     72020,     72104,    167249,    167066
    167539,     72066,     72149,    167295,    167111
    167542,     72069,     72152,    167297,    167114
    167550,     72079,     72160,    167305,    167122
    167537,     72072,     72147,    167293,    167109
    167488,     72023,     72098,    167244,    167060
    167520,     72052,     72130,    167275,    167092
    167554,     72090,     72164,    167310,    167126
    167492,     72026,     72102,    167248,    167064
    167576,     72112,     72186,    167331,    167148
    167501,     72032,     72111,    167257,    167073
    167475,     72012,     72091,    167230,    167053
    167484,     72018,     72094,    167240,    167056
    167490,     72027,     72100,    167246,    167062
    167507,     72041,     72117,    167263,    167079
    167544,     72075,     72154,    167300,    167116
    167468,     72002,     72098,    167223,    167060
    167511,     72048,     72121,    167267,    167083
    167481,     72021,     72091,    167237,    167053
    167507,     72037,     72117,    167263,    167079
    167510,     72031,     72120,    167266,    167082
    167491,     72024,     72101,    167246,    167063
    167458,     71996,     72108,    167214,    167070
    167510,     72045,     72120,    167265,    167082
    167497,     72033,     72107,    167253,    167069
    167472,     72003,     72094,    167227,    167056
    167504,     72037,     72114,    167260,    167076
    167496,     72029,     72106,    167252,    167068
    167516,     72047,     72126,    167271,    167088
    167514,     72043,     72124,    167269,    167086
    167502,     72036,     72112,    167258,    167074
    167483,     72015,     72093,    167239,    167055
    167485,     72018,     72095,    167241,    167057
    167528,     72063,     72138,    167283,    167100
    167502,     72039,     72112,    167258,    167074
    167464,     71994,     72102,    167219,    167064
    167489,     72024,     72099,    167244,    167061
    167483,     72017,     72093,    167239,    167055
    167465,     72000,     72101,    167220,    167063
    167473,     72011,     72093,    167228,    167055
    167466,     72006,     72100,    167222,    167062
    167504,     72033,     72114,    167260,    167076
    167497,     72035,     72107,    167253,    167069
    167517,     72050,     72127,    167273,    167089
    167519,     72052,     72129,    167274,    167091
    167532,     72064,     72142,    167287,    167104
    167495,     72029,     72105,    167250,    167067
    167515,     72047,     72125,    167270,    167087
    167516,     72049,     72126,    167272,    167088
    167475,     72001,     72091,    167231,    167053
    167494,     72024,     72104,    167250,    167066
    167502,     72029,     72112,    167258,    167074
    167461,     71998,     72105,    167217,    167067
    167505,     72037,     72115,    167261,    167077
    167493,     72025,     72103,    167249,    167065
    167536,     72064,     72146,    167292,    167108
    167522,     72051,     72132,    167277,    167094
    167464,     71998,     72102,    167220,    167064
    167503,     72038,     72113,    167258,    167075
    167489,     72027,     72099,    167245,    167061
    167464,     71999,     72102,    167220,    167064
    167510,     72036,     72120,    167266,    167082
    167516,     72047,     72126,    167271,    167088
    167545,     72078,     72155,    167301,    167117
    167501,     72036,     72111,    167256,    167073
    167516,     72048,     72126,    167271,    167088
    167539,     72073,     72149,    167295,    167111
    167516,     72049,     72126,    167272,    167088
    167515,     72047,     72125,    167270,    167087
    167531,     72068,     72141,    167287,    167103
    167536,     72072,     72146,    167291,    167108
    167493,     72030,     72103,    167248,    167065
    167505,     72039,     72115,    167260,    167077
    167495,     72027,     72105,    167251,    167067
    167509,     72044,     72119,    167265,    167081
    167499,     72026,     72109,    167255,    167071
    167522,     72059,     72132,    167278,    167094
    167517,     72048,     72127,    167272,    167089
    167542,     72071,     72152,    167297,    167114
    167534,     72070,     72144,    167290,    167106
    167511,     72045,     72121,    167267,    167083
    167466,     71993,     72100,    167221,    167062
    167488,     72023,     72098,    167244,    167060
    167512,     72048,     72122,    167268,    167084
    167554,     72094,     72164,    167310,    167126
    167490,     72026,     72100,    167246,    167062
    167493,     72030,     72103,    167248,    167065
    167503,     72043,     72113,    167259,    167075
    167485,     72016,     72095,    167241,    167057
    167512,     72051,     72122,    167268,    167084
    167535,     72072,     72145,    167291,    167107
    167527,     72061,     72137,    167283,    167099
    167513,     72047,     72123,    167269,    167085
    167492,     72026,     72102,    167248,    167064
    167454,     71991,     72112,    167210,    167074
    167493,     72021,     72103,    167249,    167065
    167541,     72068,     72151,    167297,    167113
    167521,     72048,     72131,    167276,    167093
    167475,     72013,     72091,    167231,    167053
    167581,     72106,     72191,    167337,    167153
    167507,     72048,     72117,    167263,    167079
    167493,     72030,     72103,    167249,    167065
    167498,     72039,     72108,    167253,    167070
    167520,     72052,     72130,    167276,    167092
    167507,     72037,     72117,    167263,    167079
    167544,     72079,     72154,    167299,    167116
    167512,     72052,     72122,    167268,    167084
    167515,     72046,     72125,    167271,    167087
    167526,     72065,     72136,    167282,    167098
    167499,     72039,     72109,    167254,    167071
    167512,     72047,     72122,    167267,    167084
    167557,     72082,     72167,    167313,    167129
    167498,     72035,     72108,    167254,    167070
    167493,     72025,     72103,    167248,    167065
    167546,     72078,     72156,    167302,    167118
    167492,     72025,     72102,    167248,    167064
    167494,     72025,     72104,    167249,    167066
    167490,     72023,     72100,    167246,    167062
    167496,     72032,     72106,    167252,    167068
    167484,     72013,     72094,    167239,    167056
    167528,     72062,     72138,    167284,    167100
    167497,     72028,     72107,    167252,    167069
    167530,     72056,     72140,    167285,    167102
    167545,     72072,     72155,    167300,    167117
    167514,     72041,     72124,    167270,    167086
    167470,     72008,     72096,    167225,    167058
    167499,     72035,     72109,    167255,    167071
    167483,     72013,     72093,    167239,    167055
    167524,     72050,     72134,    167280,    167096
    167541,     72072,     72151,    167297,    167113
    167499,     72035,     72109,    167255,    167071
    167497,     72030,     72107,    167252,    167069
    167493,     72033,     72103,    167248,    167065
    167501,     72036,     72111,    167257,    167073
    167501,     72033,     72111,    167256,    167073
    167480,     72007,     72090,    167235,    167052
    167505,     72041,     72115,    167261,    167077
    167469,     72004,     72097,    167224,    167059
    167490,     72020,     72100,    167246,    167062
    167483,     72015,     72093,    167239,    167055
    167505,     72039,     72115,    167261,    167077
    167474,     72004,     72092,    167229,    167054
    167456,     71992,     72110,    167211,    167072
    167525,     72062,     72135,    167281,    167097
    167517,     72052,     72127,    167273,    167089
    167490,     72024,     72100,    167246,    167062
    167494,     72031,     72104,    167250,    167066
    167495,     72030,     72105,    167250,    167067
    167477,     72009,     72089,    167233,    167051
    167504,     72029,     72114,    167260,    167076
    167517,     72050,     72127,    167273,    167089
    167506,     72034,     72116,    167262,    167078
    167530,     72055,     72140,    167286,    167102
    167482,     72017,     72092,    167237,    167054
    167500,     72034,     72110,    167256,    167072
    167485,     72021,     72095,    167240,    167057
    167498,     72030,     72108,    167253,    167070
    167506,     72033,     72116,    167262,    167078
    167514,     72045,     72124,    167270,    167086
    167499,     72030,     72109,    167254,    167071
    167506,     72034,     72116,    167262,    167078
    167521,     72055,     72131,    167277,    167093
    167485,     72012,     72095,    167241,    167057
    167498,     72031,     72108,    167253,    167070
    167510,     72037,     72120,    167266,    167082
    167542,     72070,     72152,    167298,    167114
    167524,     72058,     72134,    167280,    167096
    167505,     72039,     72115,    167261,    167077
    167540,     72065,     72150,    167295,    167112
    167488,     72020,     72098,    167244,    167060
    167494,     72028,     72104,    167249,    167066
    167471,     72010,     72095,    167226,    167057
