# 192.970000 26.264000
# bytecnt, realBegin, caluPerBegin, realEnd, caluPerEnd
    167487,     72025,     72230,    167243,    167068
    167494,     72022,     72210,    167249,    167048
    167494,     72029,     72203,    167249,    167041
    167463,     71999,     72172,    167218,    167010
    167510,     72046,     72250,    167266,    167088
    167509,     72046,     72202,    167264,    167040
    167498,     72030,     72192,    167253,    167030
    167478,     72015,     72183,    167233,    167021
    167489,     72024,     72214,    167244,    167052
    167515,     72050,     72229,    167270,    167067
    167445,     71980,     72133,    167201,    166971
    167468,     72002,     72226,    167223,    167064
    167476,     72009,     72211,    167232,    167049
    167467,     72004,     72194,    167223,    167032
    167436,     71965,     72172,    167191,    167010
    167479,     72007,     72246,    167235,    167084
    167478,     72007,     72202,    167233,    167040
    167507,     72034,     72232,    167262,    167070
    167472,     72005,     72168,    167227,    167006
    167479,     72005,     72210,    167235,    167048
    167485,     72014,     72209,    167241,    167047
    167531,     72059,     72249,    167287,    167087
    167460,     71992,     72132,    167215,    166970
    167511,     72047,     72254,    167266,    167092
    167516,     72047,     72208,    167271,    167046
    167516,     72050,     72203,    167272,    167041
    167509,     72046,     72196,    167265,    167034
    167467,     72007,     72161,    167223,    166999
    167463,     71999,     72199,    167219,    167037
    167472,     72013,     72212,    167228,    167050
    167500,     72037,     72231,    167255,    167069
    167479,     72011,     72182,    167234,    167020
    167471,     72005,     72195,    167227,    167033
    167481,     72021,     72213,    167237,    167051
    167498,     72033,     72220,    167253,    167058
    167484,     72022,     72189,    167240,    167027
    167476,     72012,     72195,    167232,    167033
    167489,     72022,     72216,    167245,    167054
    167509,     72046,     72223,    167265,    167061
    167504,     72033,     72198,    167260,    167036
    167526,     72057,     72225,    167282,    167063
    167498,     72031,     72175,    167254,    167013
    167496,     72028,     72201,    167252,    167039
    167484,     72007,     72191,    167240,    167029
    167507,     72041,     72226,    167263,    167064
    167459,     71990,     72155,    167214,    166993
    167485,     72017,     72229,    167240,    167067
    167465,     72002,     72183,    167221,    167021
    167473,     72001,     72211,    167228,    167049
    167487,     72021,     72217,    167243,    167055
    167485,     72020,     72201,    167241,    167039
    167514,     72051,     72232,    167270,    167070
    167475,     72004,     72164,    167230,    167002
    167544,     72071,     72272,    167300,    167110
    167498,     72020,     72157,    167254,    166995
    167460,     71995,     72165,    167215,    167003
    167498,     72032,     72241,    167254,    167079
    167508,     72043,     72213,    167264,    167051
    167519,     72053,     72214,    167275,    167052
    167496,     72032,     72180,    167252,    167018
    167515,     72049,     72222,    167271,    167060
    167499,     72031,     72187,    167255,    167025
    167522,     72054,     72226,    167277,    167064
    167464,     71997,     72145,    167220,    166983
    167524,     72055,     72263,    167279,    167101
    167495,     72024,     72174,    167250,    167012
    167515,     72044,     72223,    167271,    167061
    167474,     72011,     72162,    167229,    167000
    167518,     72044,     72247,    167273,    167085
    167479,     72014,     72164,    167234,    167002
    167504,     72032,     72228,    167260,    167066
    167447,     71982,     72146,    167203,    166984
    167497,     72028,     72253,    167252,    167091
    167480,     72008,     72186,    167236,    167024
    167476,     71999,     72199,    167232,    167037
    167465,     71998,     72192,    167221,    167030
    167470,     71997,     72208,    167226,    167046
    167457,     71987,     72190,    167212,    167028
    167466,     72000,     72212,    167222,    167050
    167504,     72036,     72241,    167260,    167079
    167512,     72044,     72211,    167268,    167049
    167501,     72038,     72192,    167256,    167030
    167521,     72056,     72223,    167276,    167061
    167462,     71990,     72144,    167218,    166982
    167526,     72054,     72267,    167282,    167105
    167467,     71998,     72144,    167223,    166982
    167513,     72048,     72249,    167268,    167087
    167494,     72029,     72184,    167249,    167022
    167487,     72021,     72196,    167243,    167034
    167503,     72034,     72219,    167259,    167057
    167481,     72017,     72181,    167237,    167019
    167512,     72047,     72234,    167267,    167072
    167500,     72030,     72191,    167255,    167029
    167507,     72040,     72210,    167262,    167048
    167517,     72057,     72213,    167272,    167051
    167454,     71991,     72140,    167210,    166978
    167475,     72009,     72224,    167230,    167062
    167498,     72036,     72226,    167253,    167064
    167500,     72030,     72205,    167256,    167043
    167481,     72010,     72184,    167237,    167022
    167491,     72023,     72213,    167247,    167051
    167492,     72024,     72204,    167248,    167042
    167464,     71999,     72175,    167219,    167013
    167450,     71984,     72189,    167206,    167027
    167490,     72024,     72243,    167245,    167081
    167514,     72047,     72227,    167270,    167065
    167492,     72018,     72181,    167248,    167019
    167508,     72042,     72219,    167264,    167057
    167516,     72050,     72211,    167272,    167049
    167536,     72075,     72223,    167292,    167061
    167533,     72062,     72200,    167288,    167038
    167535,     72061,     72205,    167290,    167043
    167560,     72088,     72228,    167316,    167066
    167517,     72049,     72160,    167273,    166998
    167506,     72040,     72192,    167262,    167030
    167520,     72056,     72217,    167275,    167055
    167525,     72059,     72208,    167281,    167046
    167498,     72023,     72176,    167254,    167014
    167557,     72084,     72262,    167313,    167100
    167504,     72043,     72150,    167259,    166988
    167489,     72020,     72188,    167245,    167026
    167453,     71993,     72167,    167208,    167005
    167520,     72055,     72270,    167275,    167108
    167494,     72020,     72177,    167249,    167015
    167539,     72066,     72248,    167295,    167086
    167542,     72069,     72206,    167297,    167044
    167550,     72079,     72211,    167305,    167049
    167537,     72072,     72190,    167293,    167028
    167488,     72023,     72154,    167244,    166992
    167520,     72052,     72235,    167275,    167073
    167554,     72090,     72237,    167310,    167075
    167492,     72026,     72141,    167248,    166979
    167576,     72112,     72287,    167331,    167125
    167501,     72032,     72128,    167257,    166966
    167475,     72012,     72177,    167230,    167015
    167484,     72018,     72212,    167240,    167050
    167490,     72027,     72209,    167246,    167047
    167507,     72041,     72220,    167263,    167058
    167544,     72075,     72240,    167300,    167078
    167468,     72002,     72127,    167223,    166965
    167511,     72048,     72246,    167267,    167084
    167481,     72021,     72173,    167237,    167011
    167507,     72037,     72229,    167263,    167067
    167510,     72031,     72206,    167266,    167044
    167491,     72024,     72184,    167246,    167022
    167458,     71996,     72170,    167214,    167008
    167510,     72045,     72255,    167265,    167093
    167497,     72033,     72190,    167253,    167028
    167472,     72003,     72178,    167227,    167016
    167504,     72037,     72235,    167260,    167073
    167496,     72029,     72195,    167252,    167033
    167516,     72047,     72223,    167271,    167061
    167514,     72043,     72201,    167269,    167039
    167502,     72036,     72191,    167258,    167029
    167483,     72015,     72184,    167239,    167022
    167485,     72018,     72205,    167241,    167043
    167528,     72063,     72246,    167283,    167084
    167502,     72039,     72177,    167258,    167015
    167464,     71994,     72165,    167219,    167003
    167489,     72024,     72228,    167244,    167066
    167483,     72017,     72197,    167239,    167035
    167465,     72000,     72185,    167220,    167023
    167473,     72011,     72211,    167228,    167049
    167466,     72006,     72196,    167222,    167034
    167504,     72033,     72241,    167260,    167079
    167497,     72035,     72196,    167253,    167034
    167517,     72050,     72223,    167273,    167061
    167519,     72052,     72205,    167274,    167043
    167532,     72064,     72216,    167287,    167054
    167495,     72029,     72166,    167250,    167004
    167515,     72047,     72223,    167270,    167061
    167516,     72049,     72204,    167272,    167042
    167475,     72001,     72162,    167231,    167000
    167494,     72024,     72222,    167250,    167060
    167502,     72029,     72211,    167258,    167049
    167461,     71998,     72162,    167217,    167000
    167505,     72037,     72247,    167261,    167085
    167493,     72025,     72191,    167249,    167029
    167536,     72064,     72246,    167292,    167084
    167522,     72051,     72189,    167277,    167027
    167464,     71998,     72145,    167220,    166983
    167503,     72038,     72242,    167258,    167080
    167489,     72027,     72189,    167245,    167027
    167464,     71999,     72178,    167220,    167016
    167510,     72036,     72249,    167266,    167087
    167516,     72047,     72209,    167271,    167047
    167545,     72078,     72232,    167301,    167070
    167501,     72036,     72159,    167256,    166997
    167516,     72048,     72218,    167271,    167056
    167539,     72073,     72226,    167295,    167064
    167516,     72049,     72180,    167272,    167018
    167515,     72047,     72202,    167270,    167040
    167531,     72068,     72219,    167287,    167057
    167536,     72072,     72208,    167291,    167046
    167493,     72030,     72160,    167248,    166998
    167505,     72039,     72215,    167260,    167053
    167495,     72027,     72193,    167251,    167031
    167509,     72044,     72217,    167265,    167055
    167499,     72026,     72193,    167255,    167031
    167522,     72059,     72226,    167278,    167064
    167517,     72048,     72198,    167272,    167036
    167542,     72071,     72228,    167297,    167066
    167534,     72070,     72195,    167290,    167033
    167511,     72045,     72180,    167267,    167018
    167466,     71993,     72158,    167221,    166996
    167488,     72023,     72225,    167244,    167063
    167512,     72048,     72227,    167268,    167065
    167554,     72094,     72245,    167310,    167083
    167490,     72026,     72139,    167246,    166977
    167493,     72030,     72206,    167248,    167044
    167503,     72043,     72213,    167259,    167051
    167485,     72016,     72185,    167241,    167023
    167512,     72051,     72230,    167268,    167068
    167535,     72072,     72226,    167291,    167064
    167527,     72061,     72195,    167283,    167033
    167513,     72047,     72189,    167269,    167027
    167492,     72026,     72182,    167248,    167020
    167454,     71991,     72165,    167210,    167003
    167493,     72021,     72242,    167249,    167080
    167541,     72068,     72251,    167297,    167089
    167521,     72048,     72183,    167276,    167021
    167475,     72013,     72157,    167231,    166995
    167581,     72106,     72309,    167337,    167147
    167507,     72048,     72129,    167263,    166967
    167493,     72030,     72189,    167249,    167027
    167498,     72039,     72208,    167253,    167046
    167520,     72052,     72225,    167276,    167063
    167507,     72037,     72190,    167263,    167028
    167544,     72079,     72240,    167299,    167078
    167512,     72052,     72171,    167268,    167009
    167515,     72046,     72206,    167271,    167044
    167526,     72065,     72214,    167282,    167052
    167499,     72039,     72176,    167254,    167014
    167512,     72047,     72216,    167267,    167054
    167557,     72082,     72248,    167313,    167086
    167498,     72035,     72144,    167254,    166982
    167493,     72025,     72198,    167248,    167036
    167546,     72078,     72256,    167302,    167094
    167492,     72025,     72149,    167248,    166987
    167494,     72025,     72205,    167249,    167043
    167490,     72023,     72199,    167246,    167037
    167496,     72032,     72209,    167252,    167047
    167484,     72013,     72191,    167239,    167029
    167528,     72062,     72247,    167284,    167085
    167497,     72028,     72172,    167252,    167010
    167530,     72056,     72236,    167285,    167074
    167545,     72072,     72218,    167300,    167056
    167514,     72041,     72172,    167270,    167010
    167470,     72008,     72159,    167225,    166997
    167499,     72035,     72232,    167255,    167070
    167483,     72013,     72187,    167239,    167025
    167524,     72050,     72244,    167280,    167082
    167541,     72072,     72220,    167297,    167058
    167499,     72035,     72161,    167255,    166999
    167497,     72030,     72201,    167252,    167039
    167493,     72033,     72199,    167248,    167037
    167501,     72036,     72211,    167257,    167049
    167501,     72033,     72203,    167256,    167041
    167480,     72007,     72182,    167235,    167020
    167505,     72041,     72228,    167261,    167066
    167469,     72004,     72167,    167224,    167005
    167490,     72020,     72224,    167246,    167062
    167483,     72015,     72196,    167239,    167034
    167505,     72039,     72225,    167261,    167063
    167474,     72004,     72172,    167229,    167010
    167456,     71992,     72185,    167211,    167023
    167525,     72062,     72272,    167281,    167110
    167517,     72052,     72195,    167273,    167033
    167490,     72024,     72176,    167246,    167014
    167494,     72031,     72207,    167250,    167045
    167495,     72030,     72204,    167250,    167042
    167477,     72009,     72185,    167233,    167023
    167504,     72029,     72230,    167260,    167068
    167517,     72050,     72216,    167273,    167054
    167506,     72034,     72192,    167262,    167030
    167530,     72055,     72227,    167286,    167065
    167482,     72017,     72155,    167237,    166993
    167500,     72034,     72221,    167256,    167059
    167485,     72021,     72188,    167240,    167026
    167498,     72030,     72216,    167253,    167054
    167506,     72033,     72211,    167262,    167049
    167514,     72045,     72211,    167270,    167049
    167499,     72030,     72188,    167254,    167026
    167506,     72034,     72210,    167262,    167048
    167521,     72055,     72218,    167277,    167056
    167485,     72012,     72167,    167241,    167005
    167498,     72031,     72216,    167253,    167054
    167510,     72037,     72215,    167266,    167053
    167542,     72070,     72235,    167298,    167073
    167524,     72058,     72185,    167280,    167023
    167505,     72039,     72184,    167261,    167022
    167540,     72065,     72238,    167295,    167076
    167488,     72020,     72151,    167244,    166989
    167494,     72028,     72209,    167249,    167047
    167471,     72010,     72180,    167226,    167018
    167481,     72019,     72213,    167236,    167051
    167517,     72053,     72239,    167273,    167077
    167499,     72028,     72185,    167255,    167023
    167473,     72010,     72177,    167229,    167015
    167538,     72075,     72268,    167294,    167106
    167497,     72031,     72162,    167253,    167000
    167492,     72018,     72198,    167248,    167036
    167507,     72040,     72218,    167262,    167056
    167518,     72042,     72214,    167274,    167052
    167519,     72049,     72204,    167275,    167042
    167506,     72040,     72190,    167261,    167028
    167494,     72029,     72191,    167249,    167029
    167516,     72048,     72225,    167271,    167063
    167491,     72021,     72178,    167247,    167016
    167484,     72017,     72196,    167239,    167034
    167477,     72009,     72196,    167233,    167034
    167507,     72048,     72233,    167262,    167071
    167510,     72048,     72206,    167265,    167044
    167482,     72016,     72175,    167238,    167013
    167517,     72047,     72238,    167273,    167076
    167453,     71992,     72139,    167209,    166977
    167532,     72065,     72282,    167287,    167120
    167506,     72041,     72177,    167261,    167015
    167503,     72032,     72200,    167258,    167038
    167508,     72040,     72208,    167264,    167046
    167489,     72019,     72184,    167244,    167022
    167544,     72077,     72258,    167300,    167096
    167526,     72054,     72185,    167281,    167023
    167517,     72047,     72194,    167272,    167032
    167476,     72016,     72162,    167231,    167000
    167478,     72015,     72205,    167233,    167043
    167487,     72021,     72212,    167242,    167050
    167535,     72070,     72251,    167290,    167089
    167465,     72000,     72133,    167220,    166971
    167499,     72037,     72237,    167255,    167075
    167486,     72018,     72190,    167242,    167028
    167500,     72032,     72217,    167256,    167055
    167483,     72023,     72186,    167239,    167024
    167466,     72003,     72186,    167222,    167024
    167513,     72047,     72250,    167268,    167088
    167492,     72032,     72182,    167247,    167020
    167516,     72053,     72227,    167271,    167065
    167541,     72074,     72228,    167296,    167066
    167501,     72031,     72163,    167257,    167001
    167520,     72056,     72222,    167276,    167060
    167516,     72051,     72199,    167272,    167037
    167495,     72032,     72182,    167251,    167020
    167510,     72048,     72218,    167265,    167056
    167516,     72044,     72209,    167272,    167047
    167526,     72052,     72213,    167281,    167051
    167503,     72036,     72180,    167258,    167018
    167448,     71987,     72148,    167204,    166986
    167455,     71989,     72210,    167211,    167048
    167510,     72050,     72258,    167266,    167096
    167503,     72042,     72196,    167259,    167034
    167488,     72016,     72188,    167244,    167026
    167468,     72004,     72183,    167224,    167021
    167510,     72038,     72245,    167265,    167083
    167507,     72037,     72200,    167263,    167038
    167492,     72021,     72188,    167247,    167026
    167527,     72061,     72238,    167283,    167076
    167466,     71992,     72142,    167222,    166980
    167464,     71992,     72201,    167220,    167039
    167533,     72067,     72272,    167289,    167110
    167493,     72031,     72163,    167248,    167001
    167500,     72021,     72210,    167256,    167048
    167464,     71995,     72167,    167219,    167005
    167493,     72024,     72232,    167249,    167070
    167506,     72035,     72216,    167262,    167054
    167514,     72046,     72211,    167270,    167049
    167489,     72025,     72178,    167245,    167016
    167485,     72022,     72199,    167241,    167037
    167510,     72040,     72228,    167266,    167066
    167505,     72038,     72198,    167261,    167036
    167519,     72052,     72217,    167275,    167055
    167519,     72038,     72203,    167275,    167041
    167487,     72017,     72171,    167242,    167009
    167509,     72037,     72225,    167264,    167063
    167489,     72021,     72183,    167245,    167021
    167482,     72019,     72196,    167238,    167034
    167489,     72019,     72210,    167245,    167048
    167473,     72010,     72187,    167229,    167025
    167496,     72027,     72226,    167252,    167064
    167488,     72017,     72195,    167243,    167033
    167447,     71988,     72162,    167203,    167000
    167481,     72013,     72237,    167236,    167075
    167493,     72024,     72215,    167249,    167053
    167509,     72036,     72219,    167265,    167057
    167495,     72032,     72189,    167250,    167027
    167489,     72023,     72197,    167244,    167035
    167542,     72073,     72256,    167298,    167094
    167502,     72030,     72163,    167258,    167001
    167496,     72036,     72197,    167252,    167035
    167507,     72039,     72214,    167262,    167052
    167514,     72045,     72210,    167270,    167048
    167507,     72043,     72196,    167262,    167034
    167517,     72054,     72213,    167273,    167051
    167472,     72003,     72158,    167227,    166996
    167507,     72042,     72238,    167262,    167076
    167497,     72025,     72193,    167253,    167031
    167520,     72053,     72226,    167275,    167064
    167505,     72034,     72188,    167260,    167026
    167496,     72021,     72194,    167252,    167032
    167464,     72001,     72171,    167220,    167009
    167482,     72019,     72221,    167237,    167059
    167493,     72030,     72214,    167248,    167052
    167512,     72045,     72222,    167267,    167060
    167471,     72007,     72162,    167226,    167000
    167504,     72032,     72236,    167260,    167074
    167480,     72013,     72179,    167236,    167017
    167504,     72032,     72227,    167260,    167065
    167515,     72048,     72214,    167271,    167052
    167502,     72036,     72190,    167258,    167028
    167498,     72032,     72199,    167254,    167037
    167516,     72049,     72221,    167272,    167059
    167495,     72032,     72182,    167250,    167020
    167528,     72062,     72236,    167284,    167074
    167538,     72072,     72213,    167294,    167051
    167534,     72068,     72199,    167290,    167037
    167492,     72025,     72161,    167248,    166999
    167500,     72028,     72211,    167255,    167049
    167532,     72061,     72235,    167287,    167073
    167512,     72050,     72183,    167267,    167021
    167497,     72037,     72188,    167252,    167026
    167498,     72028,     72204,    167254,    167042
    167526,     72065,     72231,    167282,    167069
    167531,     72066,     72208,    167286,    167046
    167514,     72046,     72186,    167270,    167024
    167518,     72055,     72207,    167274,    167045
    167486,     72023,     72171,    167242,    167009
    167538,     72072,     72255,    167294,    167093
    167543,     72077,     72208,    167299,    167046
    167503,     72032,     72163,    167258,    167001
    167552,     72089,     72252,    167308,    167090
    167520,     72051,     72171,    167276,    167009
    167546,     72077,     72229,    167301,    167067
    167493,     72026,     72150,    167248,    166988
    167523,     72058,     72233,    167278,    167071
    167501,     72032,     72181,    167257,    167019
    167475,     72007,     72177,    167231,    167015
    167465,     72003,     72193,    167220,    167031
    167461,     71994,     72199,    167216,    167037
    167438,     71976,     72180,    167193,    167018
    167499,     72040,     72264,    167254,    167102
    167481,     72018,     72185,    167237,    167023
    167438,     71977,     72160,    167194,    166998
    167472,     72010,     72237,    167228,    167075
    167429,     71960,     72160,    167185,    166998
    167459,     71993,     72233,    167214,    167071
    167428,     71964,     72172,    167183,    167010
    167479,     72006,     72254,    167235,    167092
    167434,     71965,     72158,    167189,    166996
    167478,     72010,     72247,    167234,    167085
    167482,     72014,     72207,    167238,    167045
    167468,     71999,     72189,    167224,    167027
    167461,     71993,     72196,    167217,    167034
    167490,     72027,     72232,    167246,    167070
    167425,     71958,     72138,    167181,    166976
    167505,     72035,     72283,    167260,    167121
    167467,     72000,     72165,    167222,    167003
    167483,     72011,     72219,    167239,    167057
    167473,     72007,     72193,    167228,    167031
    167487,     72024,     72217,    167243,    167055
    167497,     72028,     72213,    167253,    167051
    167469,     72001,     72175,    167224,    167013
    167469,     72003,     72203,    167225,    167041
    167482,     72018,     72216,    167237,    167054
    167495,     72028,     72216,    167251,    167054
    167496,     72030,     72204,    167251,    167042
    167487,     72018,     72194,    167243,    167032
    167513,     72044,     72229,    167269,    167067
    167549,     72081,     72239,    167304,    167077
    167493,     72027,     72147,    167248,    166985
    167483,     72016,     72193,    167239,    167031
    167499,     72027,     72219,    167254,    167057
    167500,     72027,     72204,    167255,    167042
    167492,     72024,     72195,    167247,    167033
    167513,     72043,     72224,    167269,    167062
    167469,     72001,     72159,    167224,    166997
    167487,     72021,     72221,    167243,    167059
    167525,     72056,     72241,    167281,    167079
    167448,     71985,     72126,    167204,    166964
    167467,     72004,     72222,    167223,    167060
    167501,     72032,     72237,    167257,    167075
    167470,     72001,     72172,    167226,    167010
    167516,     72051,     72249,    167272,    167087
    167486,     72023,     72173,    167241,    167011
    167480,     72011,     72197,    167235,    167035
    167497,     72033,     72220,    167252,    167058
    167494,     72034,     72200,    167250,    167038
    167452,     71981,     72161,    167207,    166999
    167505,     72035,     72256,    167261,    167094
    167476,     72010,     72174,    167231,    167012
    167500,     72035,     72227,    167255,    167065
    167507,     72041,     72210,    167262,    167048
    167515,     72048,     72211,    167271,    167049
    167490,     72021,     72178,    167245,    167016
    167494,     72022,     72207,    167250,    167045
    167525,     72057,     72234,    167280,    167072
    167489,     72015,     72167,    167244,    167005
    167526,     72062,     72240,    167282,    167078
    167488,     72013,     72165,    167244,    167003
    167494,     72028,     72209,    167250,    167047
    167524,     72052,     72233,    167280,    167071
    167475,     72006,     72154,    167231,    166992
    167488,     72021,     72216,    167244,    167054
    167489,     72022,     72204,    167245,    167042
    167488,     72023,     72202,    167244,    167040
    167475,     72012,     72190,    167230,    167028
    167543,     72070,     72271,    167298,    167109
    167508,     72040,     72168,    167263,    167006
    167525,     72068,     72220,    167281,    167058
    167510,     72047,     72188,    167265,    167026
    167486,     72020,     72179,    167241,    167017
    167493,     72029,     72210,    167249,    167048
    167479,     72010,     72189,    167235,    167027
    167512,     72040,     72236,    167267,    167074
    167506,     72037,     72197,    167262,    167035
    167506,     72039,     72203,    167261,    167041
    167506,     72043,     72203,    167262,    167041
    167494,     72025,     72191,    167250,    167029
    167488,     72020,     72197,    167243,    167035
    167502,     72037,     72217,    167257,    167055
    167499,     72029,     72200,    167255,    167038
    167512,     72038,     72216,    167268,    167054
    167514,     72038,     72205,    167270,    167043
    167471,     72002,     72160,    167227,    166998
    167468,     71997,     72200,    167223,    167038
    167450,     71991,     72185,    167206,    167023
    167485,     72025,     72238,    167241,    167076
    167478,     72012,     72196,    167234,    167034
    167486,     72018,     72211,    167242,    167049
    167473,     72006,     72190,    167228,    167028
    167525,     72062,     72255,    167281,    167093
    167496,     72034,     72174,    167251,    167012
    167514,     72048,     72221,    167270,    167059
    167482,     72019,     72171,    167238,    167009
    167495,     72030,     72216,    167250,    167054
    167498,     72034,     72206,    167253,    167044
    167488,     72023,     72193,    167243,    167031
    167519,     72050,     72234,    167275,    167072
    167492,     72026,     72176,    167248,    167014
    167501,     72034,     72212,    167257,    167050
