#detBytecnt, detRealBegin, detRealEnd, detCaluBegin, detCaluEnd
         0,         3,         1,         0,         0
        -7,        -4,        -7,        -3,        -7
       -42,       -39,       -42,       -17,       -42
        -4,        -8,        -4,        -2,        -4
         9,        14,         9,         4,         9
        28,        24,        27,        12,        28
       -21,       -26,       -21,        -9,       -21
        -8,        -6,        -7,        -4,        -8
        10,        16,        10,         5,        10
        17,        12,        16,         7,        17
       -14,       -11,       -13,        -6,       -14
        -8,       -10,        -8,        -3,        -8
        13,        10,        13,         5,        13
        20,        24,        20,         8,        20
        -5,       -13,        -5,        -2,        -5
        22,        24,        22,        10,        22
       -28,       -26,       -28,       -12,       -28
        -2,        -3,        -2,        -1,        -2
       -12,       -21,       -12,        -5,       -12
        23,        34,        23,        10,        23
       -48,       -51,       -49,       -21,       -48
        26,        27,        26,        11,        26
       -20,       -15,       -19,        -8,       -20
         8,        -1,         7,         3,         8
        14,        20,        15,         6,        14
        -2,        -1,        -2,        -1,        -2
        29,        31,        29,        13,        29
       -39,       -47,       -40,       -17,       -39
        69,        67,        70,        29,        69
       -46,       -51,       -46,       -19,       -46
       -38,       -25,       -39,       -16,       -38
        38,        37,        39,        16,        38
        10,        11,        10,         4,        10
        11,        10,        11,         5,        11
       -23,       -21,       -23,       -10,       -23
        19,        17,        19,         8,        19
       -16,       -18,       -16,        -7,       -16
        23,        23,        22,        10,        23
       -58,       -57,       -57,       -25,       -58
        60,        58,        59,        26,        60
       -29,       -31,       -29,       -12,       -29
        20,        20,        21,         8,        20
       -41,       -33,       -42,       -17,       -41
        44,        33,        44,        18,        44
       -39,       -30,       -39,       -16,       -39
        25,        18,        26,        10,        25
       -57,       -50,       -57,       -24,       -57
        50,        46,        49,        21,        50
       -17,       -20,       -16,        -7,       -17
        -4,        -9,        -4,        -1,        -4
       -11,        -1,       -11,        -5,       -11
         5,        -1,         5,         2,         5
       -13,       -10,       -14,        -6,       -13
         9,        13,        10,         4,         9
        38,        36,        38,        16,        38
         8,         8,         8,         4,         8
       -11,        -6,       -12,        -5,       -11
        20,        18,        20,         9,        20
       -59,       -66,       -58,       -25,       -59
        64,        64,        64,        27,        64
       -59,       -56,       -59,       -25,       -59
        46,        50,        45,        19,        46
       -19,       -19,       -19,        -8,       -19
        -7,        -8,        -6,        -3,        -7
        16,        13,        16,         7,        16
       -22,       -17,       -22,        -9,       -22
        31,        30,        30,        13,        31
       -12,       -17,       -12,        -5,       -12
         7,        10,         7,         3,         7
        10,        17,        10,         4,        10
       -63,       -66,       -62,       -27,       -63
        21,        18,        20,         9,        21
        23,        27,        23,        10,        23
         2,        -6,         3,         1,         2
       -19,       -20,       -19,        -8,       -19
        10,        13,        10,         4,        10
         1,         1,         1,         0,         1
       -28,       -25,       -29,       -12,       -28
       -14,       -15,       -13,        -5,       -14
