#detBytecnt, detRealBegin, detRealEnd, detCaluBegin, detCaluEnd
       -49,       -58,       -49,       -20,       -49
         8,         2,         8,         3,         8
         7,        18,         6,         3,         7
        53,        40,        53,        22,        53
       -59,       -55,       -59,       -24,       -59
        45,        59,        45,        19,        45
        -9,       -15,        -8,        -4,        -9
         7,         9,         7,         3,         7
       -35,       -39,       -36,       -15,       -35
        -8,        -7,        -7,        -3,        -8
        34,        32,        33,        14,        34
         2,         9,         3,         1,         2
        46,        41,        46,        19,        46
       -24,       -32,       -25,       -10,       -24
        -1,        10,         0,         0,        -1
       -18,       -21,       -18,        -8,       -18
       -16,       -22,       -16,        -7,       -16
        39,        37,        39,        17,        39
         7,        11,         6,         3,         7
       -27,       -26,       -26,       -12,       -27
         9,         7,         9,         4,         9
        -9,        -1,        -9,        -4,        -9
       -42,       -48,       -42,       -17,       -42
        53,        55,        53,        22,        53
        19,        17,        18,         8,        19
       -34,       -34,       -34,       -14,       -34
       -37,       -36,       -36,       -16,       -37
        15,        17,        15,         6,        15
        70,        65,        69,        30,        70
       -90,       -79,       -89,       -38,       -90
        24,        16,        23,        10,        24
       -22,       -27,       -21,        -9,       -22
        31,        36,        30,        13,        31
         6,         6,         6,         2,         6
        13,        18,        13,         6,        13
        -2,        -2,        -2,        -1,        -2
        15,         3,        16,         6,        15
       -18,       -18,       -19,        -7,       -18
         2,        11,         3,         1,         2
         7,        14,         6,         3,         7
         5,        -5,         6,         2,         5
       -22,       -17,       -22,       -10,       -22
       -30,       -31,       -31,       -12,       -30
        72,        77,        72,        30,        72
        18,        12,        19,         8,        18
       -36,       -38,       -37,       -16,       -36
       -36,       -29,       -35,       -15,       -36
         7,         0,         7,         3,         7
        18,        20,        18,         8,        18
        10,         2,        10,         4,        10
       -19,       -12,       -19,        -8,       -19
        17,        15,        17,         7,        17
       -42,       -34,       -43,       -18,       -42
        43,        45,        43,        19,        43
        -6,       -13,        -6,        -3,        -6
       -28,       -29,       -27,       -12,       -28
        32,        25,        31,        14,        32
        25,        27,        26,        10,        25
       -41,       -34,       -41,       -17,       -41
        53,        55,        53,        22,        53
       -45,       -54,       -46,       -19,       -45
        42,        46,        42,        18,        42
       -20,       -18,       -19,        -8,       -20
       -17,       -16,       -18,        -7,       -17
        17,        16,        18,         7,        17
       -10,       -16,       -10,        -5,       -10
         2,         0,         2,         1,         2
       -30,       -22,       -30,       -12,       -30
       -15,       -15,       -15,        -7,       -15
        25,        20,        24,        11,        25
         5,        10,         6,         2,         5
        69,        64,        68,        29,        69
       -33,       -34,       -32,       -14,       -33
       -36,       -30,       -36,       -15,       -36
        19,        22,        19,         8,        19
       -60,       -65,       -61,       -25,       -60
        56,        61,        57,        23,        56
         4,        -3,         3,         2,         4
       -36,       -25,       -36,       -15,       -36
       -15,       -25,       -15,        -7,       -15
        41,        32,        41,        18,        41
       -36,       -23,       -35,       -15,       -36
        -9,       -10,        -9,        -4,        -9
        15,         8,        14,         6,        15
        16,        21,        16,         7,        16
        15,        17,        16,         6,        15
       -13,       -14,       -13,        -5,       -13
        25,        26,        24,        10,        25
       -31,       -35,       -30,       -13,       -31
        13,        14,        13,         6,        13
        22,        20,        21,         9,        22
         3,         8,         4,         1,         3
       -10,       -22,       -10,        -4,       -10
       -51,       -38,       -51,       -22,       -51
         5,        -1,         4,         3,         5
        19,        25,        20,         8,        19
        47,        46,        47,        19,        47
       -61,       -66,       -62,       -25,       -61
        -4,        -3,        -4,        -2,        -4
        17,        19,        17,         7,        17
        18,        11,        19,         8,        18
        -1,         6,        -1,        -1,        -1
       -39,       -33,       -40,       -16,       -39
       -20,       -20,       -20,        -9,       -20
        55,        52,        55,        24,        55
       -29,       -31,       -28,       -13,       -29
         8,        14,         8,         4,         8
       -21,       -26,       -21,        -9,       -21
        51,        56,        50,        21,        51
        -3,       -11,        -2,        -1,        -3
         5,         8,         5,         2,         5
        -4,        -4,        -5,        -1,        -4
        35,        29,        36,        14,        35
       -50,       -42,       -50,       -21,       -50
         1,        -4,         1,         1,         1
        18,        18,        18,         7,        18
       -13,       -12,       -14,        -5,       -13
         4,         1,         4,         2,         4
       -30,       -26,       -29,       -13,       -30
        50,        50,        50,        21,        50
       -17,       -18,       -17,        -7,       -17
       -23,       -21,       -24,       -10,       -23
        -7,       -13,        -6,        -3,        -7
        56,        59,        56,        24,        56
        16,        20,        16,         7,        16
        11,        12,        11,         4,        11
       -67,       -69,       -67,       -28,       -67
         6,        10,         6,         2,         6
        15,         9,        15,         7,        15
        27,        20,        27,        11,        27
       -12,        -1,       -12,        -5,       -12
        -6,       -11,        -7,        -2,        -6
        11,        14,        12,         4,        11
        -9,       -15,        -9,        -4,        -9
        54,        57,        54,        23,        54
       -37,       -38,       -38,       -15,       -37
       -18,       -11,       -18,        -8,       -18
         5,         2,         5,         2,         5
         4,         5,         4,         2,         4
       -31,       -33,       -30,       -13,       -31
        24,        14,        23,        10,        24
        30,        33,        30,        13,        30
       -62,       -57,       -61,       -27,       -62
        46,        36,        46,        20,        46
       -14,        -3,       -15,        -6,       -14
        11,        11,        11,         4,        11
        15,        17,        16,         7,        15
       -42,       -43,       -42,       -18,       -42
        21,        22,        21,         9,        21
         4,         2,         3,         2,         4
         6,         6,         6,         2,         6
       -35,       -32,       -35,       -15,       -35
        -3,        -4,        -2,        -1,        -3
        32,        29,        31,        14,        32
       -10,        -8,        -9,        -5,       -10
       -36,       -36,       -36,       -15,       -36
        22,        25,        22,         9,        22
         7,         5,         7,         3,         7
        -6,        -4,        -7,        -2,        -6
        26,        23,        27,        11,        26
       -21,       -29,       -22,        -9,       -21
        27,        29,        28,        11,        27
         2,         8,         2,         1,         2
       -23,       -19,       -23,        -9,       -23
       -11,       -16,       -12,        -5,       -11
        17,        13,        18,         7,        17
       -36,       -31,       -36,       -15,       -36
         9,         8,         8,         4,         9
       -20,       -20,       -20,        -9,       -20
         4,         6,         4,         2,         4
       -19,       -21,       -19,        -8,       -19
        23,        24,        24,        10,        23
       -14,        -9,       -14,        -6,       -14
         8,         4,         8,         3,         8
        -4,        -2,        -4,        -2,        -4
        11,         7,        10,         5,        11
         0,         4,         0,         0,         0
       -10,       -14,       -10,        -4,       -10
        20,        11,        21,         8,        20
        40,        42,        39,        17,        40
       -11,        -5,       -11,        -4,       -11
       -30,       -36,       -30,       -13,       -30
        31,        35,        32,        13,        31
       -18,       -19,       -18,        -8,       -18
        -7,        -4,        -7,        -3,        -7
        17,        17,        16,         8,        17
         2,         1,         3,         0,         2
       -12,       -11,       -12,        -5,       -12
        15,         9,        14,         7,        15
         9,        14,        10,         3,         9
       -59,       -57,       -59,       -24,       -59
        51,        52,        51,        21,        51
         5,         7,         4,         2,         5
       -44,       -39,       -43,       -18,       -44
        40,        34,        40,        17,        40
       -29,       -31,       -30,       -13,       -29
       -15,       -21,       -15,        -6,       -15
        25,        36,        25,        10,        25
       -44,       -52,       -44,       -18,       -44
        18,        15,        18,         7,        18
         4,        12,         5,         2,         4
        22,        21,        21,         9,        22
         0,        -5,         1,         0,         0
       -19,       -10,       -19,        -8,       -19
        -8,       -11,        -8,        -3,        -8
        22,        22,        22,         9,        22
       -38,       -38,       -38,       -16,       -38
        88,        91,        88,        38,        88
       -27,       -31,       -27,       -12,       -27
        -6,        -5,        -6,        -2,        -6
       -13,       -19,       -13,        -6,       -13
        37,        41,        36,        16,        37
       -57,       -52,       -57,       -24,       -57
        24,        19,        24,        10,        24
        -6,         2,        -5,        -3,        -6
        34,        26,        34,        15,        34
       -14,       -13,       -14,        -6,       -14
       -16,       -22,       -16,        -7,       -16
        31,        39,        31,        13,        31
       -69,       -76,       -69,       -29,       -69
        25,        35,        24,        10,        25
       -34,       -43,       -33,       -14,       -34
        24,        32,        24,        10,        24
       -14,       -20,       -14,        -6,       -14
        36,        37,        35,        15,        36
       -31,       -31,       -31,       -13,       -31
        15,        17,        16,         7,        15
        13,        17,        13,         5,        13
         5,         0,         5,         2,         5
        -3,        -1,        -4,        -1,        -3
         7,         5,         7,         3,         7
       -12,        -9,       -12,        -5,       -12
        -2,        -9,        -2,        -1,        -2
        12,        20,        13,         5,        12
        -8,       -11,        -9,        -3,        -8
       -25,       -37,       -25,       -11,       -25
        57,        64,        57,        24,        57
       -38,       -39,       -37,       -16,       -38
       -26,       -23,       -27,       -11,       -26
        22,        30,        23,        10,        22
        39,        28,        39,        16,        39
       -12,       -11,       -13,        -5,       -12
        -4,         4,        -3,        -2,        -4
         6,        -1,         6,         3,         6
       -38,       -36,       -38,       -16,       -38
        19,        23,        19,         8,        19
       -13,       -11,       -13,        -6,       -13
        -2,        -1,        -2,        -1,        -2
       -21,       -23,       -21,        -8,       -21
        42,        44,        42,        17,        42
        -1,        -7,        -1,         0,        -1
        12,         7,        12,         5,        12
       -59,       -54,       -59,       -25,       -59
        13,        13,        12,         6,        13
        50,        49,        51,        21,        50
       -50,       -43,       -50,       -21,       -50
        28,        17,        28,        11,        28
       -46,       -42,       -47,       -19,       -46
        59,        57,        60,        25,        59
       -29,       -23,       -29,       -12,       -29
       -11,        -9,       -12,        -5,       -11
        46,        43,        47,        19,        46
       -35,       -35,       -36,       -14,       -35
        27,        24,        28,        11,        27
       -19,       -16,       -19,        -8,       -19
       -26,       -24,       -26,       -11,       -26
         6,         0,         6,         3,         6
        -5,         1,        -5,        -3,        -5
        45,        40,        44,        19,        45
        17,        18,        18,         8,        17
       -68,       -66,       -69,       -29,       -68
        72,        75,        72,        30,        72
        -5,        -9,        -4,        -2,        -5
       -19,       -26,       -19,        -8,       -19
       -34,       -31,       -34,       -14,       -34
        21,        23,        21,         9,        21
       -20,       -20,       -21,        -9,       -20
        42,        49,        43,        18,        42
        -8,       -13,        -9,        -3,        -8
       -35,       -40,       -35,       -15,       -35
        46,        51,        46,        19,        46
        -9,       -14,        -8,        -4,        -9
       -34,       -30,       -35,       -14,       -34
        37,        41,        38,        16,        37
       -28,       -31,       -28,       -12,       -28
        18,        19,        17,         7,        18
        14,        12,        15,         6,        14
       -50,       -48,       -50,       -21,       -50
        50,        43,        50,        21,        50
       -16,       -16,       -16,        -6,       -16
         6,         9,         6,         2,         6
       -25,       -23,       -26,       -10,       -25
        34,        33,        34,        14,        34
       -51,       -49,       -50,       -22,       -51
        -5,        -4,        -6,        -2,        -5
        29,        27,        29,        13,        29
        -4,        -4,        -3,        -2,        -4
       -21,       -26,       -21,        -9,       -21
        35,        33,        34,        15,        35
        -8,         1,        -7,        -4,        -8
         2,        -2,         1,         1,         2
        33,        39,        34,        14,        33
       -37,       -48,       -37,       -15,       -37
        27,        32,        27,        11,        27
       -18,       -20,       -19,        -8,       -18
         7,        15,         7,         3,         7
         7,         3,         7,         3,         7
       -35,       -43,       -34,       -15,       -35
       -32,       -29,       -32,       -13,       -32
        34,        31,        34,        14,        34
        -9,        -4,       -10,        -3,        -9
        33,        35,        33,        13,        33
       -47,       -50,       -47,       -19,       -47
        35,        38,        35,        14,        35
        30,        23,        30,        13,        30
       -35,       -28,       -35,       -15,       -35
         7,         9,         7,         3,         7
        10,         8,        11,         4,        10
         1,         1,         0,         1,         1
       -14,       -12,       -13,        -6,       -14
        35,        31,        35,        15,        35
       -47,       -49,       -48,       -20,       -47
        78,        84,        79,        33,        78
       -49,       -52,       -49,       -21,       -49
       -19,       -18,       -19,        -8,       -19
        15,        15,        15,         6,        15
        -3,        -2,        -3,        -1,        -3
        12,        11,        11,         5,        12
        -5,        -9,        -4,        -2,        -5
       -29,       -25,       -29,       -12,       -29
        36,        36,        35,        15,        36
         9,        10,        10,         4,         9
       -25,       -24,       -25,       -11,       -25
       -37,       -37,       -37,       -15,       -37
        37,        34,        36,        15,        37
       -13,       -10,       -13,        -5,       -13
        -7,       -16,        -6,        -3,        -7
        19,        28,        19,         8,        19
       -35,       -31,       -36,       -15,       -35
        18,         9,        18,         8,        18
        -7,        -1,        -7,        -3,        -7
         0,        -3,         0,         0,         0
        56,        58,        57,        23,        56
       -24,       -24,       -25,       -10,       -24
        -6,        -9,        -5,        -2,        -6
       -26,       -21,       -27,       -11,       -26
        30,        35,        30,        12,        30
       -59,       -63,       -58,       -24,       -59
        34,        30,        34,        14,        34
        12,        14,        11,         5,        12
       -18,       -17,       -17,        -8,       -18
         8,         9,         8,         4,         8
         4,        -4,         3,         1,         4
        23,        26,        24,        10,        23
       -39,       -36,       -40,       -16,       -39
        -8,       -14,        -8,        -4,        -8
        50,        52,        50,        21,        50
       -58,       -51,       -58,       -24,       -58
        29,        22,        30,        12,        29
       -19,       -22,       -19,        -8,       -19
        22,        18,        22,         9,        22
        14,        20,        14,         6,        14
       -51,       -48,       -51,       -21,       -51
        -5,        -9,        -5,        -2,        -5
         1,         3,         1,         0,         1
        41,        40,        41,        17,        41
        -4,        -3,        -4,        -1,        -4
         7,        11,         7,         3,         7
         9,         4,         9,         4,         9
        18,        17,        17,         7,        18
       -24,       -25,       -24,       -10,       -24
        12,        12,        13,         5,        12
       -36,       -36,       -37,       -15,       -36
        37,        40,        38,        15,        37
       -20,       -22,       -21,        -8,       -20
        28,        33,        29,        12,        28
        -8,       -10,        -9,        -4,        -8
       -35,       -33,       -34,       -14,       -35
        33,        31,        33,        14,        33
         4,         4,         4,         1,         4
       -27,       -30,       -28,       -11,       -27
       -15,       -19,       -15,        -6,       -15
        37,        32,        37,        15,        37
       -20,        -4,       -20,        -8,       -20
         2,        -8,         2,         1,         2
        -9,        -7,        -8,        -4,        -9
         9,        11,         8,         4,         9
       -12,        -5,       -11,        -5,       -12
        33,        21,        33,        13,        33
        17,        26,        17,         8,        17
        16,        13,        16,         6,        16
       -23,       -20,       -23,        -9,       -23
       -39,       -38,       -39,       -17,       -39
        51,        45,        50,        22,        51
       -26,       -19,       -25,       -11,       -26
         8,         2,         8,         3,         8
        11,        18,        11,         5,        11
       -36,       -45,       -36,       -15,       -36
        40,        49,        39,        17,        40
       -50,       -56,       -49,       -22,       -50
        -1,        -1,        -1,         0,        -1
       -23,       -17,       -23,       -10,       -23
        30,        21,        30,        13,        30
       -24,       -24,       -25,       -10,       -24
        53,        48,        54,        22,        53
        -2,         5,        -3,        -1,        -2
       -46,       -41,       -45,       -19,       -46
        39,        41,        39,        16,        39
       -22,       -26,       -23,        -9,       -22
       -11,        -7,       -10,        -5,       -11
       -11,       -17,       -11,        -4,       -11
        33,        34,        32,        14,        33
         2,         5,         2,         1,         2
       -34,       -34,       -34,       -15,       -34
        42,        40,        43,        18,        42
       -40,       -46,       -40,       -17,       -40
        16,        21,        15,         7,        16
        -4,        -1,        -4,        -2,        -4
       -24,       -22,       -23,       -10,       -24
         7,         4,         7,         3,         7
        36,        39,        36,        15,        36
       -38,       -41,       -38,       -16,       -38
        11,        13,        11,         5,        11
        18,        19,        18,         7,        18
        -6,       -11,        -6,        -2,        -6
        20,        22,        19,         8,        20
        46,        40,        46,        20,        46
       -50,       -41,       -50,       -21,       -50
       -13,       -16,       -12,        -6,       -13
        38,        33,        37,        16,        38
       -20,       -21,       -19,        -8,       -20
       -15,        -4,       -15,        -7,       -15
        -4,       -18,        -4,        -1,        -4
       -15,        -8,       -16,        -7,       -15
       -12,       -13,       -11,        -5,       -12
        -6,        -6,        -6,        -2,        -6
        11,        18,        11,         4,        11
         8,         5,         7,         4,         8
        50,        43,        51,        21,        50
        -4,        -3,        -5,        -2,        -4
       -23,       -23,       -23,       -10,       -23
       -21,       -16,       -20,        -8,       -21
        55,        55,        54,        23,        55
       -23,       -27,       -22,       -10,       -23
        -7,       -10,        -8,        -3,        -7
        14,        16,        14,         6,        14
        22,        19,        22,         9,        22
       -37,       -27,       -36,       -15,       -37
       -18,       -16,       -19,        -8,       -18
        83,        83,        83,        35,        83
       -41,       -44,       -41,       -17,       -41
       -38,       -41,       -38,       -16,       -38
        -1,         2,        -1,        -1,        -1
        31,        25,        32,        13,        31
         9,         3,         9,         4,         9
         5,        14,         4,         2,         5
       -15,       -22,       -15,        -6,       -15
        -6,         4,        -6,        -2,        -6
       -36,       -34,       -35,       -16,       -36
        18,        17,        18,         8,        18
        35,        31,        35,        15,        35
       -24,       -29,       -24,       -10,       -24
        34,        35,        34,        14,        34
       -26,       -28,       -27,       -11,       -26
       -50,       -47,       -50,       -21,       -50
        21,        21,        21,         9,        21
         5,         9,         6,         2,         5
       -12,       -11,       -12,        -5,       -12
         4,         8,         4,         1,         4
       -13,       -16,       -14,        -5,       -13
        24,        26,        24,        10,        24
        26,        23,        27,        11,        26
       -41,       -42,       -42,       -17,       -41
        29,        28,        29,        12,        29
       -12,        -6,       -11,        -5,       -12
       -25,       -26,       -25,       -11,       -25
        58,        53,        57,        25,        58
        11,        15,        12,         5,        11
      -111,      -110,      -111,       -47,      -111
        54,        50,        54,        22,        54
        15,        20,        15,         7,        15
       -40,       -43,       -40,       -17,       -40
        37,        35,        37,        15,        37
        -1,         1,        -1,         0,        -1
       -22,       -18,       -22,        -9,       -22
        11,         6,        10,         4,        11
         5,        11,         5,         3,         5
        -4,       -10,        -4,        -2,        -4
         0,        -3,         0,         0,         0
        -8,        -9,        -7,        -4,        -8
       -40,       -36,       -40,       -16,       -40
        35,        35,        34,        14,        35
        -4,        -6,        -4,        -1,        -4
         1,        -5,         1,         0,         1
         1,        12,         2,         0,         1
         3,         2,         2,         2,         3
        23,        19,        23,         9,        23
       -16,       -12,       -15,        -6,       -16
        28,        20,        28,        12,        28
       -10,       -10,       -11,        -5,       -10
       -33,       -22,       -32,       -14,       -33
        27,        22,        26,        12,        27
       -41,       -42,       -40,       -18,       -41
        38,        28,        38,        17,        38
        21,        33,        20,         8,        21
       -40,       -40,       -40,       -17,       -40
        27,        23,        28,        12,        27
         4,         3,         3,         2,         4
        13,        17,        14,         5,        13
       -15,       -10,       -15,        -6,       -15
        20,        12,        19,         8,        20
       -40,       -38,       -39,       -17,       -40
        -6,         0,        -6,        -2,        -6
        24,        19,        24,        10,        24
        24,        21,        24,        10,        24
       -13,       -13,       -13,        -5,       -13
         0,        -2,         0,         0,         0
       -22,       -14,       -22,       -10,       -22
        24,        24,        23,        10,        24
       -25,       -25,       -24,       -10,       -25
       -17,       -17,       -18,        -7,       -17
        43,        40,        43,        18,        43
       -15,       -17,       -14,        -7,       -15
       -18,       -10,       -18,        -7,       -18
        41,        31,        41,        17,        41
       -18,       -12,       -18,        -7,       -18
        29,        29,        28,        12,        29
        20,        11,        21,         8,        20
       -12,        -9,       -13,        -5,       -12
       -78,       -76,       -78,       -33,       -78
        49,        54,        50,        21,        49
        -9,       -12,        -9,        -4,        -9
        13,        13,        13,         6,        13
       -21,       -21,       -21,        -9,       -21
       -37,       -37,       -37,       -16,       -37
        76,        76,        76,        32,        76
       -38,       -38,       -39,       -16,       -38
        -7,        -8,        -7,        -3,        -7
        -7,        -6,        -6,        -3,        -7
        18,        14,        18,         8,        18
        26,        22,        26,        11,        26
       -13,        -7,       -13,        -6,       -13
        -8,       -13,        -8,        -3,        -8
        57,        60,        57,        24,        57
       -59,       -53,       -60,       -25,       -59
        -2,        -7,        -1,        -1,        -2
        22,        20,        22,        10,        22
       -11,       -13,       -11,        -5,       -11
        -4,         1,        -5,        -2,        -4
       -32,       -28,       -31,       -13,       -32
        42,        42,        42,        18,        42
        -6,       -12,        -6,        -3,        -6
       -61,       -56,       -61,       -26,       -61
        46,        43,        46,        20,        46
        -5,         0,        -6,        -2,        -5
        37,        40,        38,        15,        37
       -28,       -34,       -29,       -12,       -28
        12,         4,        12,         5,        12
       -41,       -30,       -40,       -17,       -41
        25,        24,        25,        11,        25
        15,        10,        14,         6,        15
         9,        15,        10,         4,         9
        19,        13,        19,         8,        19
       -22,       -15,       -22,        -9,       -22
       -31,       -34,       -31,       -14,       -31
        28,        29,        27,        12,        28
       -49,       -51,       -48,       -20,       -49
        30,        27,        30,        12,        30
        13,         9,        12,         6,        13
       -14,        -8,       -14,        -6,       -14
        21,        20,        21,         9,        21
        -3,        -9,        -3,        -2,        -3
       -15,       -16,       -14,        -6,       -15
         2,         5,         2,         1,         2
        37,        37,        37,        16,        37
       -13,       -11,       -13,        -6,       -13
       -30,       -31,       -30,       -13,       -30
       -12,        -8,       -12,        -5,       -12
        16,        15,        16,         7,        16
       -15,       -13,       -16,        -6,       -15
        19,        16,        20,         8,        19
        31,        34,        31,        13,        31
       -33,       -30,       -33,       -14,       -33
        30,        26,        30,        13,        30
       -38,       -38,       -38,       -16,       -38
         1,         4,         1,         0,         1
        40,        35,        40,        17,        40
       -15,        -8,       -16,        -6,       -15
       -39,       -50,       -39,       -17,       -39
        67,        65,        67,        28,        67
       -16,        -7,       -15,        -6,       -16
       -25,       -24,       -25,       -11,       -25
        11,        11,        10,         5,        11
        10,         7,        11,         4,        10
       -16,       -20,       -16,        -7,       -16
       -14,       -14,       -14,        -6,       -14
        30,        36,        30,        13,        30
       -35,       -35,       -35,       -15,       -35
        11,         7,        10,         5,        11
       -19,       -18,       -18,        -8,       -19
        35,        33,        34,        15,        35
       -23,       -18,       -23,       -10,       -23
         4,         1,         5,         1,         4
        33,        31,        32,        14,        33
       -19,       -20,       -18,        -8,       -19
        -2,         1,        -2,         0,        -2
        18,        18,        18,         7,        18
       -47,       -47,       -47,       -20,       -47
        40,        45,        40,        17,        40
        10,        14,        10,         4,        10
       -22,       -23,       -22,        -9,       -22
        21,        18,        21,         9,        21
       -29,       -27,       -29,       -12,       -29
        28,        22,        28,        12,        28
        -6,        -4,        -7,        -3,        -6
       -15,       -19,       -14,        -6,       -15
        57,        61,        56,        24,        57
       -15,       -19,       -14,        -7,       -15
       -39,       -42,       -39,       -16,       -39
        39,        41,        38,        16,        39
       -47,       -41,       -47,       -19,       -47
         5,         8,         6,         2,         5
        20,        17,        19,         8,        20
        74,        70,        74,        31,        74
       -62,       -57,       -61,       -26,       -62
        10,         6,         9,         4,        10
       -33,       -34,       -32,       -13,       -33
        13,        12,        13,         5,        13
       -19,       -12,       -20,        -8,       -19
         9,         4,         9,         4,         9
         9,        12,         9,         4,         9
       -14,       -21,       -13,        -6,       -14
       -11,        -6,       -11,        -5,       -11
        14,         5,        14,         6,        14
        18,        21,        17,         8,        18
       -38,       -39,       -38,       -17,       -38
        -8,       -11,        -8,        -3,        -8
        34,        48,        34,        14,        34
       -58,       -59,       -57,       -24,       -58
        28,        23,        28,        12,        28
        15,        21,        15,         6,        15
       -28,       -28,       -28,       -12,       -28
        31,        29,        31,        13,        31
       -40,       -42,       -41,       -17,       -40
        34,        37,        34,        15,        34
       -55,       -61,       -54,       -23,       -55
        21,        28,        20,         8,        21
        31,        32,        31,        14,        31
       -41,       -41,       -41,       -18,       -41
        34,        36,        35,        15,        34
        10,         6,         9,         4,        10
         0,        -2,         0,         0,         0
        14,        18,        14,         6,        14
       -11,        -6,       -10,        -5,       -11
       -14,       -26,       -14,        -6,       -14
        19,        21,        19,         8,        19
        -7,        -9,        -7,        -3,        -7
        28,        27,        28,        12,        28
       -57,       -57,       -57,       -24,       -57
         8,         6,         8,         3,         8
         4,         9,         4,         2,         4
        34,        23,        34,        14,        34
        47,        56,        47,        20,        47
       -48,       -54,       -48,       -20,       -48
       -22,       -19,       -22,        -9,       -22
        -8,        -9,        -8,        -4,        -8
       -33,       -27,       -33,       -14,       -33
        22,        21,        22,        10,        22
         5,        11,         4,         2,         5
        21,        17,        22,         9,        21
       -10,        -4,       -10,        -5,       -10
       -13,       -14,       -14,        -5,       -13
        13,         3,        13,         5,        13
       -33,       -27,       -32,       -13,       -33
         5,         9,         5,         2,         5
         8,         6,         8,         3,         8
        13,         8,        13,         6,        13
         7,         8,         7,         2,         7
        28,        34,        28,        12,        28
         5,         0,         4,         2,         5
        -5,        -5,        -4,        -2,        -5
       -38,       -40,       -38,       -16,       -38
         6,         8,         6,         3,         6
        20,        14,        19,         8,        20
         2,         9,         3,         1,         2
       -10,       -10,       -10,        -4,       -10
       -36,       -36,       -37,       -15,       -36
        27,        29,        28,        11,        27
         0,        -4,         0,         0,         0
       -15,       -17,       -16,        -6,       -15
        49,        47,        49,        20,        49
       -41,       -44,       -41,       -17,       -41
        23,        23,        23,        10,        23
       -26,       -23,       -26,       -11,       -26
        11,        16,        12,         4,        11
        61,        60,        61,        26,        61
       -47,       -51,       -47,       -20,       -47
        41,        41,        40,        18,        41
       -70,       -65,       -69,       -30,       -70
        47,        43,        46,        20,        47
       -47,       -42,       -46,       -20,       -47
        24,        17,        24,        10,        24
         5,        14,         5,         2,         5
         9,         2,         9,         4,         9
       -29,       -22,       -29,       -12,       -29
        -7,       -13,        -7,        -3,        -7
        72,        70,        71,        30,        72
       -37,       -35,       -37,       -15,       -37
       -29,       -28,       -29,       -12,       -29
        16,        13,        16,         6,        16
         8,        13,         9,         4,         8
       -30,       -32,       -31,       -13,       -30
        20,        24,        21,         8,        20
       -15,       -17,       -15,        -6,       -15
        19,        18,        18,         8,        19
        47,        47,        47,        20,        47
        17,        18,        18,         7,        17
       -28,       -36,       -29,       -12,       -28
       -13,       -11,       -12,        -5,       -13
         0,         6,         0,         0,         0
        37,        29,        36,        16,        37
       -45,       -42,       -45,       -20,       -45
        17,        21,        17,         8,        17
         0,        -7,         1,         0,         0
         3,        -1,         3,         1,         3
        -1,         3,        -2,         0,        -1
         1,        -1,         1,         0,         1
       -10,         0,       -10,        -4,       -10
       -18,       -21,       -17,        -8,       -18
        23,        24,        22,        10,        23
        -1,        -4,        -1,        -1,        -1
        20,        22,        21,         9,        20
       -33,       -30,       -34,       -14,       -33
        33,        30,        34,        14,        33
         0,        -1,         0,         0,         0
         2,        -5,         1,         1,         2
       -17,       -18,       -16,        -7,       -17
        -4,        13,        -4,        -2,        -4
       -32,       -43,       -32,       -14,       -32
        41,        47,        41,        18,        41
        -8,       -13,        -9,        -4,        -8
       -57,       -55,       -56,       -24,       -57
        20,        24,        20,         9,        20
        44,        45,        44,        18,        44
       -40,       -41,       -40,       -17,       -40
        -8,        -8,        -9,        -3,        -8
        34,        39,        34,        14,        34
       -39,       -42,       -38,       -16,       -39
        16,         2,        16,         7,        16
        20,        28,        20,         8,        20
       -33,       -26,       -34,       -14,       -33
        15,        11,        16,         6,        15
         8,         1,         8,         4,         8
       -10,        -3,       -10,        -4,       -10
        27,        27,        27,        11,        27
       -12,       -14,       -12,        -5,       -12
        -9,        -7,        -9,        -4,        -9
       -13,       -22,       -13,        -5,       -13
        21,        27,        20,         8,        21
        -2,        -1,        -2,         0,        -2
        14,        16,        15,         6,        14
        -6,        -8,        -7,        -3,        -6
       -23,       -27,       -22,       -10,       -23
        28,        37,        28,        12,        28
        -3,        -9,        -3,        -1,        -3
         8,        17,         8,         3,         8
       -52,       -61,       -52,       -22,       -52
        35,        35,        35,        15,        35
         3,         6,         3,         1,         3
       -39,       -41,       -40,       -16,       -39
        31,        36,        32,        13,        31
       -18,       -23,       -18,        -8,       -18
       -27,       -22,       -27,       -11,       -27
        41,        33,        40,        17,        41
       -48,       -46,       -47,       -20,       -48
        28,        29,        27,        12,        28
        26,        27,        27,        11,        26
       -24,       -29,       -25,       -10,       -24
         9,        11,        10,         3,         9
         3,         5,         3,         2,         3
         3,        -3,         3,         1,         3
        -3,         0,        -4,        -1,        -3
        16,        18,        17,         6,        16
        23,        28,        23,        10,        23
         8,       -10,         7,         4,         8
       -17,        -8,       -17,        -8,       -17
       -29,       -32,       -28,       -12,       -29
        35,        42,        35,        15,        35
       -73,       -65,       -73,       -31,       -73
        32,        33,        32,        14,        32
        47,        39,        47,        19,        47
       -26,       -23,       -27,       -11,       -26
        16,        16,        17,         7,        16
         9,         7,         9,         4,         9
       -16,       -16,       -16,        -7,       -16
       -57,       -59,       -57,       -24,       -57
        21,        21,        20,         9,        21
         8,         1,         9,         3,         8
         6,        17,         6,         3,         6
       -10,       -13,       -10,        -4,       -10
