# avg10RB: 0.870722      avg10RE: 1.000000     pct5: 476.000000		
# bytecnt, realBegin, caluAddAvgBegin, caluPct5Begin, realEnd, caluAddAvgEnd, caluPct5End
    167485,     72016,     71988,     72464,    167241,    167209,    166733
    167508,     72045,     72030,     72506,    167264,    167257,    166781
    167520,     72055,     72020,     72496,    167275,    167246,    166770
    167492,     72027,     71985,     72462,    167248,    167206,    166730
    167499,     72033,     72016,     72492,    167254,    167241,    166765
    167482,     72006,     71995,     72471,    167238,    167217,    166741
    167487,     72020,     72014,     72490,    167243,    167239,    166763
    167476,     72012,     72000,     72476,    167232,    167223,    166747
    167469,     71996,     72003,     72480,    167225,    167227,    166751
    167528,     72058,     72061,     72537,    167284,    167293,    166817
    167476,     72019,     71964,     72441,    167231,    167182,    166706
    167515,     72043,     72043,     72520,    167271,    167273,    166797
    167515,     72042,     72010,     72486,    167271,    167234,    166758
    167462,     71994,     71963,     72440,    167217,    167181,    166705
    167533,     72064,     72071,     72548,    167289,    167305,    166829
    167478,     71999,     71962,     72438,    167234,    167179,    166703
    167479,     72010,     72010,     72487,    167235,    167235,    166759
    167505,     72035,     72032,     72509,    167261,    167260,    166784
    167499,     72030,     72004,     72481,    167255,    167228,    166752
    167484,     72022,     71996,     72473,    167239,    167219,    166743
    167526,     72060,     72046,     72523,    167282,    167276,    166800
    167494,     72028,     71982,     72458,    167250,    167202,    166726
    167505,     72045,     72019,     72496,    167261,    167245,    166769
    167467,     72007,     71976,     72453,    167223,    167196,    166720
    167500,     72037,     72038,     72515,    167255,    167267,    166791
    167531,     72061,     72036,     72513,    167286,    167265,    166789
    167455,     71991,     71943,     72420,    167211,    167158,    166682
    167483,     72021,     72034,     72510,    167239,    167262,    166786
    167488,     72019,     72014,     72490,    167244,    167239,    166763
    167520,     72058,     72037,     72514,    167276,    167266,    166790
    167480,     72014,     71975,     72451,    167236,    167194,    166718
    167480,     72017,     72010,     72486,    167236,    167234,    166758
    167455,     71984,     71988,     72464,    167210,    167209,    166733
    167498,     72035,     72047,     72523,    167254,    167277,    166801
    167493,     72028,     72005,     72482,    167249,    167229,    166753
    167473,     72007,     71992,     72469,    167229,    167214,    166738
    167476,     72015,     72012,     72489,    167231,    167237,    166761
    167469,     71993,     72003,     72480,    167224,    167227,    166751
    167525,     72055,     72058,     72535,    167280,    167290,    166814
    167484,     72021,     71974,     72450,    167239,    167193,    166717
    167514,     72043,     72036,     72512,    167269,    167264,    166788
    167486,     72016,     71985,     72462,    167242,    167206,    166730
    167505,     72038,     72026,     72503,    167261,    167253,    166777
    167478,     72006,     71986,     72462,    167234,    167207,    166731
    167498,     72034,     72027,     72503,    167253,    167254,    166778
    167460,     71991,     71976,     72453,    167216,    167196,    166720
    167487,     72025,     72033,     72510,    167243,    167261,    166785
    167494,     72022,     72016,     72492,    167249,    167241,    166765
    167494,     72029,     72010,     72486,    167249,    167234,    166758
    167463,     71999,     71983,     72459,    167218,    167203,    166727
    167510,     72046,     72050,     72527,    167266,    167281,    166805
    167509,     72046,     72009,     72485,    167264,    167233,    166757
    167498,     72030,     72000,     72476,    167253,    167223,    166747
    167478,     72015,     71992,     72469,    167233,    167214,    166738
    167489,     72024,     72019,     72496,    167244,    167245,    166769
    167515,     72050,     72032,     72509,    167270,    167260,    166784
    167445,     71980,     71949,     72425,    167201,    167164,    166688
    167468,     72002,     72030,     72506,    167223,    167257,    166781
    167476,     72009,     72016,     72493,    167232,    167242,    166766
    167467,     72004,     72002,     72478,    167223,    167225,    166749
    167436,     71965,     71983,     72459,    167191,    167203,    166727
    167479,     72007,     72047,     72523,    167235,    167277,    166801
    167478,     72007,     72009,     72485,    167233,    167233,    166757
    167507,     72034,     72035,     72511,    167262,    167263,    166787
    167472,     72005,     71979,     72456,    167227,    167199,    166723
    167479,     72005,     72016,     72492,    167235,    167241,    166765
    167485,     72014,     72015,     72491,    167241,    167240,    166764
    167531,     72059,     72050,     72526,    167287,    167280,    166804
    167460,     71992,     71948,     72424,    167215,    167163,    166687
    167511,     72047,     72054,     72530,    167266,    167285,    166809
    167516,     72047,     72014,     72490,    167271,    167239,    166763
    167516,     72050,     72010,     72486,    167272,    167234,    166758
    167509,     72046,     72003,     72480,    167265,    167227,    166751
    167467,     72007,     71973,     72449,    167223,    167192,    166716
    167463,     71999,     72006,     72483,    167219,    167230,    166754
    167472,     72013,     72017,     72494,    167228,    167243,    166767
    167500,     72037,     72034,     72510,    167255,    167262,    166786
    167479,     72011,     71991,     72468,    167234,    167213,    166737
    167471,     72005,     72003,     72479,    167227,    167226,    166750
    167481,     72021,     72018,     72495,    167237,    167244,    166768
    167498,     72033,     72024,     72501,    167253,    167251,    166775
    167484,     72022,     71997,     72474,    167240,    167220,    166744
    167476,     72012,     72003,     72479,    167232,    167226,    166750
    167489,     72022,     72021,     72497,    167245,    167247,    166771
    167509,     72046,     72027,     72503,    167265,    167254,    166778
    167504,     72033,     72005,     72482,    167260,    167229,    166753
    167526,     72057,     72029,     72505,    167282,    167256,    166780
    167498,     72031,     71985,     72462,    167254,    167206,    166730
    167496,     72028,     72008,     72484,    167252,    167232,    166756
    167484,     72007,     71999,     72476,    167240,    167222,    166746
    167507,     72041,     72030,     72506,    167263,    167257,    166781
    167459,     71990,     71968,     72444,    167214,    167186,    166710
    167485,     72017,     72032,     72509,    167240,    167260,    166784
    167465,     72002,     71992,     72469,    167221,    167214,    166738
    167473,     72001,     72016,     72493,    167228,    167242,    166766
    167487,     72021,     72022,     72498,    167243,    167248,    166772
    167485,     72020,     72008,     72484,    167241,    167232,    166756
    167514,     72051,     72035,     72511,    167270,    167263,    166787
    167475,     72004,     71976,     72452,    167230,    167195,    166719
    167544,     72071,     72070,     72546,    167300,    167303,    166827
    167498,     72020,     71969,     72446,    167254,    167188,    166712
    167460,     71995,     71976,     72453,    167215,    167196,    166720
    167498,     72032,     72043,     72519,    167254,    167272,    166796
    167508,     72043,     72018,     72495,    167264,    167244,    166768
    167519,     72053,     72019,     72496,    167275,    167245,    166769
    167496,     72032,     71989,     72466,    167252,    167211,    166735
    167515,     72049,     72026,     72503,    167271,    167253,    166777
    167499,     72031,     71996,     72472,    167255,    167218,    166742
    167522,     72054,     72030,     72506,    167277,    167257,    166781
    167464,     71997,     71959,     72435,    167220,    167176,    166700
    167524,     72055,     72062,     72538,    167279,    167294,    166818
    167495,     72024,     71984,     72461,    167250,    167205,    166729
    167515,     72044,     72027,     72503,    167271,    167254,    166778
    167474,     72011,     71974,     72450,    167229,    167193,    166717
    167518,     72044,     72048,     72524,    167273,    167278,    166802
    167479,     72014,     71976,     72452,    167234,    167195,    166719
    167504,     72032,     72031,     72508,    167260,    167259,    166783
    167447,     71982,     71960,     72436,    167203,    167177,    166701
    167497,     72028,     72053,     72530,    167252,    167284,    166808
    167480,     72008,     71995,     72471,    167236,    167217,    166741
    167476,     71999,     72006,     72483,    167232,    167230,    166754
    167465,     71998,     72000,     72476,    167221,    167223,    166747
    167470,     71997,     72014,     72490,    167226,    167239,    166763
    167457,     71987,     71998,     72475,    167212,    167221,    166745
    167466,     72000,     72017,     72494,    167222,    167243,    166767
    167504,     72036,     72043,     72519,    167260,    167272,    166796
    167512,     72044,     72016,     72493,    167268,    167242,    166766
    167501,     72038,     72000,     72476,    167256,    167223,    166747
    167521,     72056,     72027,     72503,    167276,    167254,    166778
    167462,     71990,     71958,     72435,    167218,    167175,    166699
    167526,     72054,     72065,     72542,    167282,    167298,    166822
    167467,     71998,     71958,     72435,    167223,    167175,    166699
    167513,     72048,     72050,     72526,    167268,    167280,    166804
    167494,     72029,     71993,     72469,    167249,    167215,    166739
    167487,     72021,     72003,     72480,    167243,    167227,    166751
    167503,     72034,     72023,     72500,    167259,    167250,    166774
    167481,     72017,     71990,     72467,    167237,    167212,    166736
    167512,     72047,     72036,     72513,    167267,    167265,    166789
    167500,     72030,     71999,     72476,    167255,    167222,    166746
    167507,     72040,     72016,     72492,    167262,    167241,    166765
    167517,     72057,     72018,     72495,    167272,    167244,    166768
    167454,     71991,     71955,     72431,    167210,    167171,    166695
    167475,     72009,     72028,     72504,    167230,    167255,    166779
    167498,     72036,     72030,     72506,    167253,    167257,    166781
    167500,     72030,     72011,     72488,    167256,    167236,    166760
    167481,     72010,     71993,     72469,    167237,    167215,    166739
    167491,     72023,     72018,     72495,    167247,    167244,    166768
    167492,     72024,     72010,     72487,    167248,    167235,    166759
    167464,     71999,     71985,     72462,    167219,    167206,    166730
    167450,     71984,     71997,     72474,    167206,    167220,    166744
    167490,     72024,     72044,     72521,    167245,    167274,    166798
    167514,     72047,     72030,     72507,    167270,    167258,    166782
    167492,     72018,     71990,     72467,    167248,    167212,    166736
    167508,     72042,     72023,     72500,    167264,    167250,    166774
    167516,     72050,     72016,     72493,    167272,    167242,    166766
    167536,     72075,     72027,     72503,    167292,    167254,    166778
    167533,     72062,     72007,     72483,    167288,    167231,    166755
    167535,     72061,     72011,     72488,    167290,    167236,    166760
    167560,     72088,     72031,     72508,    167316,    167259,    166783
    167517,     72049,     71972,     72449,    167273,    167191,    166715
    167506,     72040,     72000,     72476,    167262,    167223,    166747
    167520,     72056,     72022,     72498,    167275,    167248,    166772
    167525,     72059,     72014,     72490,    167281,    167239,    166763
    167498,     72023,     71986,     72462,    167254,    167207,    166731
    167557,     72084,     72061,     72537,    167313,    167293,    166817
    167504,     72043,     71963,     72440,    167259,    167181,    166705
    167489,     72020,     71996,     72473,    167245,    167219,    166743
    167453,     71993,     71978,     72455,    167208,    167198,    166722
    167520,     72055,     72068,     72544,    167275,    167301,    166825
    167494,     72020,     71987,     72463,    167249,    167208,    166732
    167539,     72066,     72049,     72525,    167295,    167279,    166803
    167542,     72069,     72012,     72489,    167297,    167237,    166761
    167550,     72079,     72016,     72493,    167305,    167242,    166766
    167537,     72072,     71998,     72475,    167293,    167221,    166745
    167488,     72023,     71967,     72443,    167244,    167185,    166709
    167520,     72052,     72037,     72514,    167275,    167266,    166790
    167554,     72090,     72039,     72516,    167310,    167268,    166792
    167492,     72026,     71956,     72432,    167248,    167172,    166696
    167576,     72112,     72083,     72559,    167331,    167318,    166842
    167501,     72032,     71944,     72421,    167257,    167159,    166683
    167475,     72012,     71987,     72463,    167230,    167208,    166732
    167484,     72018,     72017,     72494,    167240,    167243,    166767
    167490,     72027,     72015,     72491,    167246,    167240,    166764
    167507,     72041,     72024,     72501,    167263,    167251,    166775
    167544,     72075,     72042,     72518,    167300,    167271,    166795
    167468,     72002,     71943,     72420,    167223,    167158,    166682
    167511,     72048,     72047,     72523,    167267,    167277,    166801
    167481,     72021,     71983,     72460,    167237,    167204,    166728
    167507,     72037,     72032,     72509,    167263,    167260,    166784
    167510,     72031,     72012,     72489,    167266,    167237,    166761
    167491,     72024,     71993,     72469,    167246,    167215,    166739
    167458,     71996,     71981,     72457,    167214,    167201,    166725
    167510,     72045,     72055,     72531,    167265,    167286,    166810
    167497,     72033,     71998,     72475,    167253,    167221,    166745
    167472,     72003,     71988,     72464,    167227,    167209,    166733
    167504,     72037,     72037,     72514,    167260,    167266,    166790
    167496,     72029,     72003,     72479,    167252,    167226,    166750
    167516,     72047,     72027,     72503,    167271,    167254,    166778
    167514,     72043,     72008,     72484,    167269,    167232,    166756
    167502,     72036,     71999,     72476,    167258,    167222,    166746
    167483,     72015,     71993,     72469,    167239,    167215,    166739
    167485,     72018,     72011,     72488,    167241,    167236,    166760
    167528,     72063,     72047,     72523,    167283,    167277,    166801
